"studentnummer","sexe","etniciteit","huiswerk","schooltype","wiskundetoets","voldoende"
5,"vrouw","blank",7,"publiek",47.810001373291,"wiskundetoets niet gehaald"
76,"vrouw","blank",7,"publiek",67.6900024414062,"wiskundetoets WEL gehaald"
95,"man","blank",7,"prive andere religie",56.0499992370605,"wiskundetoets WEL gehaald"
47,"vrouw","blank",7,"prive katholiek",56.1300010681152,"wiskundetoets WEL gehaald"
37,"vrouw","blank",7,"publiek",64.1500015258789,"wiskundetoets WEL gehaald"
62,"man","blank",7,"publiek",40.5200004577637,"wiskundetoets niet gehaald"
48,"man","zwart",7,"publiek",57.2299995422363,"wiskundetoets WEL gehaald"
18,"vrouw","blank",7,"publiek",56.3499984741211,"wiskundetoets WEL gehaald"
66,"vrouw","Zuid-Amerikaans",7,"publiek",59.5099983215332,"wiskundetoets WEL gehaald"
81,"vrouw","Zuid-Amerikaans",7,"prive katholiek",42.1399993896484,"wiskundetoets niet gehaald"
83,"man","zwart",7,"prive openbaar (geen religie)",65.4800033569336,"wiskundetoets WEL gehaald"
86,"vrouw","blank",7,"prive katholiek",63.0499992370605,"wiskundetoets WEL gehaald"
16,"vrouw","blank",7,"publiek",64.2300033569336,"wiskundetoets WEL gehaald"
74,"man","Indiaan/Alaska",7,"publiek",41.4000015258789,"wiskundetoets niet gehaald"
64,"man","blank",7,"publiek",45.4500007629395,"wiskundetoets niet gehaald"
11,"vrouw","blank",7,"publiek",70.0400009155273,"wiskundetoets WEL gehaald"
96,"vrouw","blank",7,"publiek",61.8699989318848,"wiskundetoets WEL gehaald"
50,"vrouw","Aziatisch",7,"publiek",65.4100036621094,"wiskundetoets WEL gehaald"
94,"vrouw","blank",7,"prive openbaar (geen religie)",65.629997253418,"wiskundetoets WEL gehaald"
70,"vrouw","blank",7,"publiek",50.1599998474121,"wiskundetoets niet gehaald"
56,"vrouw","blank",7,"publiek",51.4099998474121,"wiskundetoets niet gehaald"
27,"man","blank",7,"publiek",44.7099990844727,"wiskundetoets niet gehaald"
68,"man","Zuid-Amerikaans",7,"publiek",39.6300010681152,"wiskundetoets niet gehaald"
71,"man","blank",7,"publiek",57.3800010681152,"wiskundetoets WEL gehaald"
78,"vrouw","blank",7,"publiek",65.4100036621094,"wiskundetoets WEL gehaald"
57,"man","Aziatisch",7,"publiek",66.5800018310547,"wiskundetoets WEL gehaald"
82,"vrouw","blank",7,"publiek",44.7099990844727,"wiskundetoets niet gehaald"
3,"man","blank",7,"publiek",57.4500007629395,"wiskundetoets WEL gehaald"
4,"man","Aziatisch",7,"publiek",43.0900001525879,"wiskundetoets niet gehaald"
82,"man","blank",7,"publiek",60.7700004577637,"wiskundetoets WEL gehaald"
65,"vrouw","blank",7,"publiek",47.0699996948242,"wiskundetoets niet gehaald"
87,"man","zwart",7,"prive katholiek",31.5300006866455,"wiskundetoets niet gehaald"
30,"man","blank",7,"prive katholiek",65.4100036621094,"wiskundetoets WEL gehaald"
52,"man","blank",7,"prive katholiek",45.6699981689453,"wiskundetoets niet gehaald"
18,"vrouw","blank",7,"prive openbaar (geen religie)",64.5199966430664,"wiskundetoets WEL gehaald"
20,"vrouw","blank",7,"prive openbaar (geen religie)",64.2300033569336,"wiskundetoets WEL gehaald"
42,"vrouw","blank",7,"prive openbaar (geen religie)",63.0499992370605,"wiskundetoets WEL gehaald"
92,"vrouw","blank",7,"prive openbaar (geen religie)",57.2299995422363,"wiskundetoets WEL gehaald"
28,"man","blank",7,"prive katholiek",57.310001373291,"wiskundetoets WEL gehaald"
14,"man","blank",7,"prive openbaar (geen religie)",66.5800018310547,"wiskundetoets WEL gehaald"
63,"man","blank",7,"prive openbaar (geen religie)",63.3400001525879,"wiskundetoets WEL gehaald"
96,"man","Aziatisch",7,"prive openbaar (geen religie)",59.5099983215332,"wiskundetoets WEL gehaald"
28,"man","blank",7,"prive openbaar (geen religie)",58.9300003051758,"wiskundetoets WEL gehaald"
71,"man","blank",7,"prive openbaar (geen religie)",59.439998626709,"wiskundetoets WEL gehaald"
52,"man","blank",7,"prive andere religie",63.0499992370605,"wiskundetoets WEL gehaald"
5,"man","Aziatisch",7,"publiek",34.9900016784668,"wiskundetoets niet gehaald"
25,"man","zwart",7,"publiek",40.7400016784668,"wiskundetoets niet gehaald"
86,"man","blank",7,"publiek",56.0499992370605,"wiskundetoets WEL gehaald"
53,"vrouw","blank",7,"publiek",47.0699996948242,"wiskundetoets niet gehaald"
64,"man","blank",7,"prive openbaar (geen religie)",65.4100036621094,"wiskundetoets WEL gehaald"
58,"man","blank",7,"publiek",59.5900001525879,"wiskundetoets WEL gehaald"
66,"vrouw","Aziatisch",7,"publiek",66.5100021362305,"wiskundetoets WEL gehaald"
23,"man","blank",7,"prive andere religie",57.2299995422363,"wiskundetoets WEL gehaald"
31,"man","blank",7,"publiek",59.5099983215332,"wiskundetoets WEL gehaald"
10,"vrouw","blank",6,"publiek",46.7000007629395,"wiskundetoets niet gehaald"
12,"vrouw","blank",6,"prive katholiek",44.3499984741211,"wiskundetoets niet gehaald"
18,"man","blank",6,"publiek",57.1599998474121,"wiskundetoets WEL gehaald"
34,"vrouw","blank",6,"prive katholiek",39.6300010681152,"wiskundetoets niet gehaald"
71,"vrouw","zwart",6,"prive katholiek",37.7200012207031,"wiskundetoets niet gehaald"
80,"man","zwart",6,"prive katholiek",54.8800010681152,"wiskundetoets niet gehaald"
22,"man","blank",6,"prive openbaar (geen religie)",68.870002746582,"wiskundetoets WEL gehaald"
37,"vrouw","blank",6,"prive openbaar (geen religie)",65.6999969482422,"wiskundetoets WEL gehaald"
